X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.025,0.025,0,0,0.0755051,0,0,0,0,0
0.025,0.0416667,0,0,0.0921706,0,0,0,0,0
0.025,0.0583333,0,0,0.108834,0,0,0,0,0
0.025,0.075,0,0,0.125495,0,0,0,0,0
0.025,0.0916667,0,0,0.142153,0,0,0,0,0
0.025,0.108333,0,0,0.158809,0,0,0,0,0
0.025,0.125,0,0,0.175462,0,0,0,0,0
0.025,0.141667,0,0,0.192113,0,0,0,0,0
0.025,0.158333,0,0,0.208761,0,0,0,0,0
0.025,0.175,0,0,0.225407,0,0,0,0,0
0.025,0.191667,0,0,0.242049,0,0,0,0,0
0.025,0.208333,0,0,0.258689,0,0,0,0,0
0.025,0.225,0,0,0.275326,0,0,0,0,0
0.025,0.241667,0,0,0.291961,0,0,0,0,0
0.025,0.258333,0,0,0.308592,0,0,0,0,0
0.025,0.275,0,0,0.32522,0,0,0,0,0
0.025,0.291667,0,0,0.341845,0,0,0,0,0
0.025,0.308333,0,0,0.358467,0,0,0,0,0
0.025,0.325,0,0,0.375086,0,0,0,0,0
0.025,0.341667,0,0,0.391702,0,0,0,0,0
0.025,0.358333,0,0,0.408315,0,0,0,0,0
0.025,0.375,0,0,0.424924,0,0,0,0,0
0.025,0.391667,0,0,0.441529,0,0,0,0,0
0.025,0.408333,0,0,0.458132,0,0,0,0,0
0.025,0.425,0,0,0.47473,0,0,0,0,0
0.025,0.441667,0,0,0.491326,0,0,0,0,0
0.025,0.458333,0,0,0.507917,0,0,0,0,0
0.025,0.475,0,0,0.524505,0,0,0,0,0
0.025,0.491667,0,0,0.541089,0,0,0,0,0
0.025,0.508333,0,0,0.557669,0,0,0,0,0
0.025,0.525,0,0,0.574246,0,0,0,0,0
0.025,0.541667,0,0,0.590818,0,0,0,0,0
0.025,0.558333,0,0,0.607387,0,0,0,0,0
0.025,0.575,0,0,0.623951,0,0,0,0,0
0.025,0.591667,0,0,0.640511,0,0,0,0,0
0.025,0.608333,0,0,0.657067,0,0,0,0,0
0.025,0.625,0,0,0.673619,0,0,0,0,0
0.025,0.641667,0,0,0.690167,0,0,0,0,0
0.025,0.658333,0,0,0.70671,0,0,0,0,0
0.025,0.675,0,0,0.723249,0,0,0,0,0
0.025,0.691667,0,0,0.739783,0,0,0,0,0
0.025,0.708333,0,0,0.756312,0,0,0,0,0
0.025,0.725,0,0,0.772837,0,0,0,0,0
0.025,0.741667,0,0,0.789357,0,0,0,0,0
0.025,0.758333,0,0,0.805873,0,0,0,0,0
0.025,0.775,0,0,0.822384,0,0,0,0,0
0.025,0.791667,0,0,0.838889,0,0,0,0,0
0.025,0.808333,0,0,0.85539,0,0,0,0,0
0.025,0.825,0,0,0.871886,0,0,0,0,0
0.025,0.841667,0,0,0.888377,0,0,0,0,0
0.025,0.858333,0,0,0.904862,0,0,0,0,0
0.025,0.875,0,0,0.921343,0,0,0,0,0
0.025,0.891667,0,0,0.937818,0,0,0,0,0
0.025,0.908333,0,0,0.954287,0,0,0,0,0
0.025,0.925,0,0,0.970752,0,0,0,0,0
0.025,0.941667,0,0,0.987211,0,0,0,0,0
0.025,0.958333,0,0,1.00366,0,0,0,0,0
0.025,0.975,0,0,1.02011,0,0,0,0,0
0.025,0.991667,0,0,1.03655,0,0,0,0,0
