X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.5,0.5,1.19953,0.147394,0.425357,1.225,-0.460607,0,99999.7,298
0.5,0.833333,1.09462,0.0725517,0.799689,1.225,-0.203453,0,99999.9,298
0.5,1.16667,1.05179,0.0202447,1.1551,1.225,-0.106673,0,99999.9,298
0.5,1.5,1.02661,-0.0133831,1.50088,1.225,-0.054103,0,100000,298
0.5,1.83333,1.00648,-0.0279188,1.83951,1.225,-0.0137776,0,100000,298
0.5,2.16667,0.990739,-0.021949,2.17187,1.225,0.0179554,0,100000,298
0.5,2.5,0.984395,-2.6741e-09,2.5,1.225,0.0309669,0,100000,298
0.5,2.83333,0.990739,0.021949,2.82813,1.225,0.0179554,0,100000,298
0.5,3.16667,1.00648,0.0279188,3.16049,1.225,-0.0137776,0,100000,298
0.5,3.5,1.02661,0.0133831,3.49912,1.225,-0.054103,0,100000,298
0.5,3.83333,1.05179,-0.0202447,3.8449,1.225,-0.106673,0,99999.9,298
0.5,4.16667,1.09462,-0.0725517,4.20031,1.225,-0.203453,0,99999.9,298
0.5,4.5,1.19953,-0.147394,4.57464,1.225,-0.460607,0,99999.7,298
0.833333,0.5,1.17745,0.0430936,0.401737,1.225,-0.388242,0,99999.8,298
0.833333,0.833333,1.12715,0.0216368,0.784966,1.225,-0.270933,0,99999.8,298
0.833333,1.16667,1.08593,-0.0128828,1.15317,1.225,-0.17942,0,99999.9,298
0.833333,1.5,1.04816,-0.0432094,1.50892,1.225,-0.100514,0,99999.9,298
0.833333,1.83333,1.00857,-0.0578201,1.85195,1.225,-0.0205482,0,100000,298
0.833333,2.16667,0.972081,-0.0442719,2.1813,1.225,0.0530981,0,100000,298
0.833333,2.5,0.956102,-2.88611e-09,2.5,1.225,0.0858689,0,100000,298
0.833333,2.83333,0.972081,0.0442719,2.8187,1.225,0.0530981,0,100000,298
0.833333,3.16667,1.00857,0.0578201,3.14805,1.225,-0.0205482,0,100000,298
0.833333,3.5,1.04816,0.0432094,3.49108,1.225,-0.100514,0,99999.9,298
0.833333,3.83333,1.08593,0.0128828,3.84683,1.225,-0.17942,0,99999.9,298
0.833333,4.16667,1.12715,-0.0216368,4.21503,1.225,-0.270933,0,99999.8,298
0.833333,4.5,1.17745,-0.0430936,4.59826,1.225,-0.388242,0,99999.8,298
1.16667,0.5,1.1779,0.00334402,0.396628,1.225,-0.387454,0,99999.8,298
1.16667,0.833333,1.15059,-0.0162154,0.785265,1.225,-0.324131,0,99999.8,298
1.16667,1.16667,1.11664,-0.0502032,1.16369,1.225,-0.249397,0,99999.9,298
1.16667,1.5,1.07155,-0.0887515,1.52969,1.225,-0.156086,0,99999.9,298
1.16667,1.83333,1.00754,-0.11588,1.87805,1.225,-0.0285663,0,100000,298
1.16667,2.16667,0.932918,-0.0973184,2.20138,1.225,0.120192,0,100000,298
1.16667,2.5,0.895851,-3.28848e-09,2.5,1.225,0.197451,0,100000,298
1.16667,2.83333,0.932918,0.0973184,2.79862,1.225,0.120192,0,100000,298
1.16667,3.16667,1.00754,0.11588,3.12195,1.225,-0.0285663,0,100000,298
1.16667,3.5,1.07155,0.0887515,3.47031,1.225,-0.156086,0,99999.9,298
1.16667,3.83333,1.11664,0.0502032,3.83631,1.225,-0.249397,0,99999.9,298
1.16667,4.16667,1.15059,0.0162154,4.21474,1.225,-0.324131,0,99999.8,298
1.16667,4.5,1.1779,-0.00334402,4.60337,1.225,-0.387454,0,99999.8,298
1.5,0.5,1.19366,-0.0135022,0.399508,1.225,-0.425015,0,99999.8,298
1.5,0.833333,1.1807,-0.0396393,0.795776,1.225,-0.395615,0,99999.8,298
1.5,1.16667,1.15847,-0.082963,1.18664,1.225,-0.348938,0,99999.8,298
1.5,1.5,1.11384,-0.145713,1.56809,1.225,-0.261873,0,99999.8,298
1.5,1.83333,1.01713,-0.219631,1.9292,1.225,-0.0827969,0,100000,298
1.5,2.16667,0.856201,-0.229122,2.24618,1.225,0.214423,0,100000,298
1.5,2.5,0.761465,-3.9513e-09,2.5,1.225,0.420171,0,100000,298
1.5,2.83333,0.856201,0.229122,2.75382,1.225,0.214423,0,100000,298
1.5,3.16667,1.01713,0.219631,3.0708,1.225,-0.0827969,0,100000,298
1.5,3.5,1.11384,0.145713,3.43191,1.225,-0.261873,0,99999.8,298
1.5,3.83333,1.15847,0.082963,3.81336,1.225,-0.348938,0,99999.8,298
1.5,4.16667,1.1807,0.0396393,4.20422,1.225,-0.395615,0,99999.8,298
1.5,4.5,1.19366,0.0135022,4.60049,1.225,-0.425015,0,99999.8,298
1.83333,0.5,1.21754,-0.0177134,0.405629,1.225,-0.482709,0,99999.7,298
1.83333,0.833333,1.22006,-0.0458767,0.811691,1.225,-0.49064,0,99999.7,298
1.83333,1.16667,1.22271,-0.0962962,1.219,1.225,-0.504294,0,99999.7,298
1.83333,1.5,1.20821,-0.191507,1.62683,1.225,-0.496455,0,99999.7,298
1.83333,1.83333,1.09095,-0.38781,2.02448,1.225,-0.340566,0,99999.8,298
1.83333,2.16667,0.713287,-0.599537,2.35413,1.225,0.131777,0,100000,298
1.83333,2.5,0.437608,-4.83878e-09,2.5,1.225,0.808499,0,100000,298
1.83333,2.83333,0.713287,0.599537,2.64587,1.225,0.131777,0,100000,298
1.83333,3.16667,1.09095,0.38781,2.97552,1.225,-0.340566,0,99999.8,298
1.83333,3.5,1.20821,0.191507,3.37317,1.225,-0.496455,0,99999.7,298
1.83333,3.83333,1.22271,0.0962962,3.781,1.225,-0.504294,0,99999.7,298
1.83333,4.16667,1.22006,0.0458767,4.18831,1.225,-0.49064,0,99999.7,298
1.83333,4.5,1.21754,0.0177134,4.59437,1.225,-0.482709,0,99999.7,298
2.16667,0.5,1.23954,-0.0114746,0.411317,1.225,-0.536592,0,99999.7,298
2.16667,0.833333,1.25928,-0.0298579,0.82636,1.225,-0.586675,0,99999.7,298
2.16667,1.16667,1.3041,-0.0648381,1.25084,1.225,-0.704884,0,99999.6,298
2.16667,1.5,1.40535,-0.136209,1.69576,1.225,-0.993573,0,99999.4,298
2.16667,1.83333,1.67475,-0.290976,2.18774,1.225,-1.88945,0,99998.9,297.999
2.16667,2.16667,2.17936,-0.569427,2.5,1e-10,-4.07386,1,99997.6,297.998
2.16667,2.5,2.48517,-1.63229e-05,2.5,1e-10,-5.17607,1,99997,297.997
2.16667,2.83333,2.17938,0.569394,2.5,1e-10,-4.07389,1,99997.6,297.998
2.16667,3.16667,1.67475,0.290976,2.81226,1.225,-1.88945,0,99998.9,297.999
2.16667,3.5,1.40535,0.136209,3.30424,1.225,-0.993573,0,99999.4,298
2.16667,3.83333,1.3041,0.0648381,3.74916,1.225,-0.704884,0,99999.6,298
2.16667,4.16667,1.25928,0.0298579,4.17364,1.225,-0.586675,0,99999.7,298
2.16667,4.5,1.23954,0.0114746,4.58868,1.225,-0.536592,0,99999.7,298
2.5,0.5,1.24739,0.00167296,0.413279,1.225,-0.555996,0,99999.7,298
2.5,0.833333,1.27342,0.00275793,0.831596,1.225,-0.621604,0,99999.6,298
2.5,1.16667,1.32906,0.00301111,1.26222,1.225,-0.766415,0,99999.6,298
2.5,1.5,1.43435,0.00248348,1.71764,1.225,-1.05737,0,99999.4,297.999
2.5,1.83333,1.59585,0.00122946,2.21846,1.225,-1.54675,0,99999.1,297.999
2.5,2.16667,1.9554,0.00252964,2.5,1e-10,-2.82358,1,99998.4,297.999
2.5,2.5,2.22157,-3.26406e-05,2.5,1e-10,-3.93535,1,99997.7,297.998
2.5,2.83333,1.95541,-0.0025786,2.5,1e-10,-2.82365,1,99998.4,297.999
2.5,3.16667,1.59585,-0.00122947,2.78154,1.225,-1.54675,0,99999.1,297.999
2.5,3.5,1.43435,-0.00248349,3.28236,1.225,-1.05737,0,99999.4,297.999
2.5,3.83333,1.32906,-0.00301112,3.73778,1.225,-0.766415,0,99999.6,298
2.5,4.16667,1.27342,-0.00275793,4.1684,1.225,-0.621604,0,99999.6,298
2.5,4.5,1.24739,-0.00167296,4.58672,1.225,-0.555996,0,99999.7,298
2.83333,0.5,1.23678,0.0154085,0.410202,1.225,-0.529868,0,99999.7,298
2.83333,0.833333,1.25794,0.0362055,0.824522,1.225,-0.583726,0,99999.7,298
2.83333,1.16667,1.30438,0.0716412,1.24883,1.225,-0.706529,0,99999.6,298
2.83333,1.5,1.40714,0.141903,1.69411,1.225,-1.00017,0,99999.4,298
2.83333,1.83333,1.67846,0.29464,2.18692,1.225,-1.90405,0,99998.9,297.999
2.83333,2.16667,2.18438,0.574608,2.5,1e-10,-4.10169,1,99997.6,297.998
2.83333,2.5,2.49028,-1.63218e-05,2.5,1e-10,-5.20149,1,99997,297.997
2.83333,2.83333,2.18438,-0.574624,2.5,1e-10,-4.10171,1,99997.6,297.998
2.83333,3.16667,1.67846,-0.29464,2.81308,1.225,-1.90405,0,99998.9,297.999
2.83333,3.5,1.40714,-0.141903,3.30589,1.225,-1.00017,0,99999.4,298
2.83333,3.83333,1.30438,-0.0716412,3.75117,1.225,-0.706529,0,99999.6,298
2.83333,4.16667,1.25794,-0.0362055,4.17548,1.225,-0.583726,0,99999.7,298
2.83333,4.5,1.23678,-0.0154085,4.5898,1.225,-0.529868,0,99999.7,298
