X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.03,0.03,1.1752,0.173627,0.0250157,1.225,-0.411239,0,99999.8,298
0.03,0.05,1.07344,0.123428,0.047008,1.225,-0.167504,0,99999.9,298
0.03,0.07,1.03675,0.0918206,0.0679533,1.225,-0.0832774,0,100000,298
0.03,0.09,1.02135,0.071224,0.0884779,1.225,-0.0482285,0,100000,298
0.03,0.11,1.0139,0.0570683,0.108807,1.225,-0.0312486,0,100000,298
0.03,0.13,1.00983,0.0468112,0.129034,1.225,-0.0219573,0,100000,298
0.03,0.15,1.0074,0.039026,0.149201,1.225,-0.0163716,0,100000,298
0.03,0.17,1.00582,0.0328827,0.16933,1.225,-0.0127644,0,100000,298
0.03,0.19,1.00475,0.0278765,0.189434,1.225,-0.0103034,0,100000,298
0.03,0.21,1.00399,0.0236869,0.20952,1.225,-0.00855121,0,100000,298
0.03,0.23,1.00342,0.0201022,0.229593,1.225,-0.0072605,0,100000,298
0.03,0.25,1.00299,0.0169777,0.249657,1.225,-0.00628324,0,100000,298
0.03,0.27,1.00266,0.0142112,0.269713,1.225,-0.00552638,0,100000,298
0.03,0.29,1.00239,0.0117289,0.289763,1.225,-0.00492904,0,100000,298
0.03,0.31,1.00218,0.00947612,0.309809,1.225,-0.00445007,0,100000,298
0.03,0.33,1.002,0.00741162,0.32985,1.225,-0.0040608,0,100000,298
0.03,0.35,1.00185,0.00550367,0.349889,1.225,-0.00374077,0,100000,298
0.03,0.37,1.00173,0.00372755,0.369924,1.225,-0.00347504,0,100000,298
0.03,0.39,1.00162,0.0020637,0.389958,1.225,-0.00325251,0,100000,298
0.03,0.41,1.00153,0.000496486,0.409989,1.225,-0.0030648,0,100000,298
0.03,0.43,1.00145,-0.000986726,0.430019,1.225,-0.00290544,0,100000,298
0.03,0.45,1.00138,-0.00239625,0.450047,1.225,-0.0027694,0,100000,298
0.03,0.47,1.00132,-0.00374056,0.470074,1.225,-0.00265273,0,100000,298
0.03,0.49,1.00126,-0.00502668,0.4901,1.225,-0.00255225,0,100000,298
0.03,0.51,1.00121,-0.00626046,0.510125,1.225,-0.00246542,0,100000,298
0.03,0.53,1.00117,-0.00744683,0.530149,1.225,-0.00239013,0,100000,298
0.03,0.55,1.00112,-0.0085899,0.550171,1.225,-0.00232469,0,100000,298
0.03,0.57,1.00109,-0.00969318,0.570193,1.225,-0.00226765,0,100000,298
0.03,0.59,1.00105,-0.0107596,0.590215,1.225,-0.00221784,0,100000,298
0.03,0.61,1.00102,-0.0117918,0.610236,1.225,-0.00217424,0,100000,298
0.03,0.63,1.00099,-0.0127918,0.630256,1.225,-0.00213599,0,100000,298
0.03,0.65,1.00096,-0.0137614,0.650275,1.225,-0.00210234,0,100000,298
0.03,0.67,1.00093,-0.0147024,0.670294,1.225,-0.00207267,0,100000,298
0.03,0.69,1.0009,-0.0156158,0.690312,1.225,-0.00204642,0,100000,298
