X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.0375,0.0375,1.17541,0.17342,0.0312748,1.225,-0.411654,0,99999.8,298
0.0375,0.0625,1.07364,0.123014,0.0587703,1.225,-0.167845,0,99999.9,298
0.0375,0.0875,1.03695,0.0912008,0.0849571,1.225,-0.0835906,0,100000,298
0.0375,0.1125,1.02155,0.0703987,0.110618,1.225,-0.0485301,0,100000,298
0.0375,0.1375,1.0141,0.0560385,0.136035,1.225,-0.0315453,0,100000,298
0.0375,0.1625,1.01004,0.0455782,0.161323,1.225,-0.0222521,0,100000,298
0.0375,0.1875,1.0076,0.0375913,0.186537,1.225,-0.0166661,0,100000,298
0.0375,0.2125,1.00602,0.031248,0.211703,1.225,-0.0130596,0,100000,298
0.0375,0.2375,1.00495,0.0260438,0.236838,1.225,-0.0105999,0,100000,298
0.0375,0.2625,1.00418,0.0216585,0.26195,1.225,-0.00884939,0,100000,298
0.0375,0.2875,1.00361,0.0178807,0.287047,1.225,-0.00756067,0,100000,298
0.0375,0.3125,1.00318,0.0145658,0.312131,1.225,-0.00658561,0,100000,298
0.0375,0.3375,1.00284,0.0116121,0.337206,1.225,-0.00583106,0,100000,298
0.0375,0.3625,1.00257,0.00894591,0.362273,1.225,-0.00523613,0,100000,298
0.0375,0.3875,1.00236,0.00651298,0.387335,1.225,-0.00475956,0,100000,298
0.0375,0.4125,1.00217,0.00427229,0.412391,1.225,-0.00437265,0,100000,298
0.0375,0.4375,1.00202,0.00219243,0.437443,1.225,-0.00405486,0,100000,298
0.0375,0.4625,1.00189,0.000248988,0.462492,1.225,-0.00379121,0,100000,298
0.0375,0.4875,1.00178,-0.00157727,0.487538,1.225,-0.00357053,0,100000,298
0.0375,0.5125,1.00169,-0.00330165,0.512581,1.225,-0.00338438,0,100000,298
0.0375,0.5375,1.0016,-0.00493646,0.537622,1.225,-0.00322621,0,100000,298
0.0375,0.5625,1.00152,-0.00649166,0.562661,1.225,-0.00309095,0,100000,298
0.0375,0.5875,1.00145,-0.00797539,0.587699,1.225,-0.00297456,0,100000,298
0.0375,0.6125,1.00139,-0.00939429,0.612734,1.225,-0.00287379,0,100000,298
0.0375,0.6375,1.00133,-0.0107539,0.637768,1.225,-0.00278601,0,100000,298
0.0375,0.6625,1.00128,-0.0120587,0.662801,1.225,-0.00270907,0,100000,298
0.0375,0.6875,1.00123,-0.0133124,0.687832,1.225,-0.00264116,0,100000,298
0.0375,0.7125,1.00118,-0.0145182,0.712862,1.225,-0.00258079,0,100000,298
0.0375,0.7375,1.00114,-0.0156786,0.737891,1.225,-0.00252668,0,100000,298
0.0375,0.7625,1.0011,-0.0167958,0.762919,1.225,-0.00247774,0,100000,298
0.0375,0.7875,1.00106,-0.0178715,0.787946,1.225,-0.00243301,0,100000,298
0.0375,0.8125,1.00102,-0.018907,0.812972,1.225,-0.00239169,0,100000,298
0.0375,0.8375,1.00098,-0.0199036,0.837997,1.225,-0.00235304,0,100000,298
0.0375,0.8625,1.00094,-0.0208621,0.863021,1.225,-0.00231643,0,100000,298
0.0375,0.8875,1.0009,-0.0217833,0.888044,1.225,-0.00228127,0,100000,298
0.0375,0.9125,1.00087,-0.0226676,0.913066,1.225,-0.00224707,0,100000,298
0.0375,0.9375,1.00083,-0.0235155,0.938087,1.225,-0.00221334,0,100000,298
0.0375,0.9625,1.00079,-0.0243271,0.963108,1.225,-0.00217968,0,100000,298
0.0375,0.9875,1.00076,-0.0251026,0.988127,1.225,-0.00214568,0,100000,298
0.0375,1.0125,1.00072,-0.0258421,1.01315,1.225,-0.00211099,0,100000,298
0.0375,1.0375,1.00069,-0.0265454,1.03816,1.225,-0.00207529,0,100000,298
0.0375,1.0625,1.00065,-0.0272124,1.06318,1.225,-0.00203827,0,100000,298
0.0375,1.0875,1.00061,-0.0278429,1.0882,1.225,-0.00199965,0,100000,298
0.0375,1.1125,1.00058,-0.0284367,1.11321,1.225,-0.00195918,0,100000,298
0.0375,1.1375,1.00054,-0.0289935,1.13822,1.225,-0.00191662,0,100000,298
0.0375,1.1625,1.0005,-0.0295128,1.16324,1.225,-0.00187174,0,100000,298
0.0375,1.1875,1.00046,-0.0299943,1.18825,1.225,-0.00182436,0,100000,298
0.0375,1.2125,1.00042,-0.0304377,1.21326,1.225,-0.00177429,0,100000,298
0.0375,1.2375,1.00038,-0.0308424,1.23827,1.225,-0.00172136,0,100000,298
0.0375,1.2625,1.00035,-0.0312081,1.26328,1.225,-0.00166543,0,100000,298
0.0375,1.2875,1.00031,-0.0315343,1.28829,1.225,-0.00160638,0,100000,298
0.0375,1.3125,1.00027,-0.0318204,1.3133,1.225,-0.0015441,0,100000,298
0.0375,1.3375,1.00023,-0.0320662,1.3383,1.225,-0.00147849,0,100000,298
0.0375,1.3625,1.00018,-0.0322711,1.36331,1.225,-0.00140948,0,100000,298
0.0375,1.3875,1.00014,-0.0324346,1.38831,1.225,-0.00133704,0,100000,298
0.0375,1.4125,1.0001,-0.0325565,1.41331,1.225,-0.00126111,0,100000,298
