X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.15,0.15,0,0,1.52128,0,0,0,0,0
0.15,0.25,0,0,2.52126,0,0,0,0,0
0.15,0.35,0,0,3.52119,0,0,0,0,0
0.15,0.45,0,0,4.52108,0,0,0,0,0
0.15,0.55,0,0,5.52091,0,0,0,0,0
0.15,0.65,0,0,6.52068,0,0,0,0,0
0.15,0.75,0,0,7.52038,0,0,0,0,0
0.15,0.85,0,0,8.52001,0,0,0,0,0
0.15,0.95,0,0,9.51956,0,0,0,0,0
0.15,1.05,0,0,10.519,0,0,0,0,0
0.15,1.15,0,0,11.5184,0,0,0,0,0
0.15,1.25,0,0,12.5176,0,0,0,0,0
0.15,1.35,0,0,13.5168,0,0,0,0,0
0.15,1.45,0,0,14.5158,0,0,0,0,0
0.15,1.55,0,0,15.5148,0,0,0,0,0
0.15,1.65,0,0,16.5136,0,0,0,0,0
0.15,1.75,0,0,17.5123,0,0,0,0,0
0.15,1.85,0,0,18.5109,0,0,0,0,0
0.15,1.95,0,0,19.5094,0,0,0,0,0
0.15,2.05,0,0,20.5079,0,0,0,0,0
0.15,2.15,0,0,21.5062,0,0,0,0,0
0.15,2.25,0,0,22.5045,0,0,0,0,0
0.15,2.35,0,0,23.5027,0,0,0,0,0
0.15,2.45,0,0,24.5009,0,0,0,0,0
0.15,2.55,0,0,25.4991,0,0,0,0,0
0.15,2.65,0,0,26.4973,0,0,0,0,0
0.15,2.75,0,0,27.4955,0,0,0,0,0
0.15,2.85,0,0,28.4938,0,0,0,0,0
0.15,2.95,0,0,29.4921,0,0,0,0,0
0.15,3.05,0,0,30.4906,0,0,0,0,0
0.15,3.15,0,0,31.4891,0,0,0,0,0
0.15,3.25,0,0,32.4877,0,0,0,0,0
0.15,3.35,0,0,33.4864,0,0,0,0,0
0.15,3.45,0,0,34.4852,0,0,0,0,0
0.15,3.55,0,0,35.4842,0,0,0,0,0
0.15,3.65,0,0,36.4832,0,0,0,0,0
0.15,3.75,0,0,37.4824,0,0,0,0,0
0.15,3.85,0,0,38.4816,0,0,0,0,0
0.15,3.95,0,0,39.481,0,0,0,0,0
0.15,4.05,0,0,40.4804,0,0,0,0,0
0.15,4.15,0,0,41.48,0,0,0,0,0
0.15,4.25,0,0,42.4796,0,0,0,0,0
0.15,4.35,0,0,43.4793,0,0,0,0,0
0.15,4.45,0,0,44.4791,0,0,0,0,0
0.15,4.55,0,0,45.4789,0,0,0,0,0
0.15,4.65,0,0,46.4788,0,0,0,0,0
0.15,4.75,0,0,47.4787,0,0,0,0,0
0.15,4.85,0,0,48.4787,0,0,0,0,0
0.25,0.15,0,0,1.5222,0,0,0,0,0
0.25,0.25,0,0,2.52222,0,0,0,0,0
0.25,0.35,0,0,3.5222,0,0,0,0,0
0.25,0.45,0,0,4.52213,0,0,0,0,0
0.25,0.55,0,0,5.522,0,0,0,0,0
0.25,0.65,0,0,6.5218,0,0,0,0,0
0.25,0.75,0,0,7.52154,0,0,0,0,0
0.25,0.85,0,0,8.52119,0,0,0,0,0
0.25,0.95,0,0,9.52076,0,0,0,0,0
0.25,1.05,0,0,10.5202,0,0,0,0,0
0.25,1.15,0,0,11.5196,0,0,0,0,0
0.25,1.25,0,0,12.5189,0,0,0,0,0
0.25,1.35,0,0,13.518,0,0,0,0,0
0.25,1.45,0,0,14.517,0,0,0,0,0
0.25,1.55,0,0,15.5159,0,0,0,0,0
0.25,1.65,0,0,16.5147,0,0,0,0,0
0.25,1.75,0,0,17.5133,0,0,0,0,0
0.25,1.85,0,0,18.5119,0,0,0,0,0
0.25,1.95,0,0,19.5103,0,0,0,0,0
0.25,2.05,0,0,20.5085,0,0,0,0,0
