X,Y,U,V,Stream,Density,Cp,Solid,P,T
0.15,0.15,11.7503,1.73799,1.25061,1.225,-0.410893,0,99976,297.98
0.15,0.25,10.7326,1.23773,2.35005,1.225,-0.167217,0,99990.2,297.992
0.15,0.35,10.3657,0.923397,3.39714,1.225,-0.0830098,0,99995.1,297.996
0.15,0.45,10.2117,0.719187,4.4232,1.225,-0.0479656,0,99997.2,297.998
0.15,0.55,10.1372,0.579413,5.43949,1.225,-0.0309833,0,99998.2,297.998
0.15,0.65,10.0965,0.478657,6.45064,1.225,-0.021685,0,99998.7,297.999
0.15,0.75,10.0721,0.402665,7.45879,1.225,-0.0160886,0,99999.1,297.999
0.15,0.85,10.0563,0.343146,8.46505,1.225,-0.0124674,0,99999.3,297.999
0.15,0.95,10.0455,0.295066,9.47005,1.225,-0.00998921,0,99999.4,298
0.15,1.05,10.0378,0.255233,10.4741,1.225,-0.00821646,0,99999.5,298
0.15,1.15,10.032,0.221544,11.4776,1.225,-0.00690201,0,99999.6,298
0.15,1.25,10.0276,0.192565,12.4806,1.225,-0.00589803,0,99999.7,298
0.15,1.35,10.0241,0.167288,13.4831,1.225,-0.00511192,0,99999.7,298
0.15,1.45,10.0213,0.144982,14.4854,1.225,-0.00448357,0,99999.7,298
0.15,1.55,10.0191,0.125106,15.4874,1.225,-0.00397288,0,99999.8,298
0.15,1.65,10.0172,0.107245,16.4892,1.225,-0.00355263,0,99999.8,298
0.15,1.75,10.0156,0.0910707,17.4908,1.225,-0.00320419,0,99999.8,298
0.15,1.85,10.0143,0.0763147,18.4923,1.225,-0.00291486,0,99999.8,298
0.15,1.95,10.0132,0.0627478,19.4937,1.225,-0.00267607,0,99999.8,298
0.15,2.05,10.0123,0.0501659,20.4949,1.225,-0.00248223,0,99999.9,298
0.15,2.15,10.0116,0.0383802,21.4961,1.225,-0.0023298,0,99999.9,298
0.15,2.25,10.011,0.0272095,22.4973,1.225,-0.00221672,0,99999.9,298
0.15,2.35,10.0107,0.0164768,23.4983,1.225,-0.00214184,0,99999.9,298
0.15,2.45,10.0105,0.00600601,24.4994,1.225,-0.00210462,0,99999.9,298
0.15,2.55,10.0105,-0.00437865,25.5004,1.225,-0.00210485,0,99999.9,298
0.15,2.65,10.0107,-0.0148533,26.5015,1.225,-0.00214254,0,99999.9,298
0.15,2.75,10.0111,-0.0255939,27.5026,1.225,-0.00221791,0,99999.9,298
0.15,2.85,10.0116,-0.0367768,28.5037,1.225,-0.00233153,0,99999.9,298
0.15,2.95,10.0123,-0.0485793,29.5049,1.225,-0.00248454,0,99999.9,298
0.15,3.05,10.0132,-0.0611827,30.5062,1.225,-0.00267904,0,99999.8,298
0.15,3.15,10.0143,-0.0747765,31.5075,1.225,-0.00291855,0,99999.8,298
0.15,3.25,10.0156,-0.089565,32.509,1.225,-0.00320867,0,99999.8,298
0.15,3.35,10.0172,-0.105778,33.5107,1.225,-0.00355796,0,99999.8,298
0.15,3.45,10.0191,-0.123685,34.5125,1.225,-0.00397912,0,99999.8,298
0.15,3.55,10.0214,-0.143612,35.5145,1.225,-0.00449077,0,99999.7,298
0.15,3.65,10.0242,-0.165977,36.5168,1.225,-0.00512012,0,99999.7,298
0.15,3.75,10.0277,-0.19132,37.5193,1.225,-0.00590723,0,99999.7,298
0.15,3.85,10.0321,-0.220372,38.5223,1.225,-0.00691223,0,99999.6,298
0.15,3.95,10.0378,-0.254141,39.5257,1.225,-0.00822769,0,99999.5,298
0.15,4.05,10.0456,-0.294061,40.5299,1.225,-0.0100014,0,99999.4,298
0.15,4.15,10.0564,-0.342234,41.5349,1.225,-0.0124806,0,99999.3,297.999
0.15,4.25,10.0722,-0.401853,42.5411,1.225,-0.0161027,0,99999.1,297.999
0.15,4.35,10.0966,-0.47795,43.5493,1.225,-0.0216999,0,99998.7,297.999
0.15,4.45,10.1373,-0.578816,44.5605,1.225,-0.0309991,0,99998.2,297.998
0.15,4.55,10.2118,-0.718704,45.5768,1.225,-0.0479824,0,99997.2,297.998
0.15,4.65,10.3658,-0.923032,46.6028,1.225,-0.0830277,0,99995.1,297.996
0.15,4.75,10.7328,-1.23748,47.6499,1.225,-0.167237,0,99990.2,297.992
0.15,4.85,11.7504,-1.73787,48.7494,1.225,-0.410918,0,99976,297.98
0.25,0.15,11.2623,0.720375,1.1524,1.225,-0.273577,0,99984,297.986
0.25,0.25,10.8146,0.79005,2.25245,1.225,-0.175796,0,99989.7,297.991
0.25,0.35,10.5185,0.7081,3.31532,1.225,-0.111411,0,99993.5,297.994
0.25,0.45,10.344,0.605921,4.35616,1.225,-0.0736514,0,99995.7,297.996
0.25,0.55,10.2405,0.514684,5.38412,1.225,-0.0513336,0,99997,297.997
0.25,0.65,10.1767,0.438911,6.40427,1.225,-0.0375885,0,99997.8,297.998
0.25,0.75,10.1355,0.376739,7.41947,1.225,-0.0287053,0,99998.3,297.999
0.25,0.85,10.1076,0.325365,8.43137,1.225,-0.0226942,0,99998.7,297.999
0.25,0.95,10.0879,0.282349,9.44099,1.225,-0.0184571,0,99998.9,297.999
0.25,1.05,10.0735,0.245811,10.449,1.225,-0.0153626,0,99999.1,297.999
0.25,1.15,10.0627,0.214351,11.4557,1.225,-0.0130322,0,99999.2,297.999
0.25,1.25,10.0543,0.186929,12.4615,1.225,-0.0112301,0,99999.3,297.999
0.25,1.35,10.0476,0.162772,13.4665,1.225,-0.0098042,0,99999.4,298
0.25,1.45,10.0422,0.141296,14.471,1.225,-0.00865377,0,99999.5,298
0.25,1.55,10.0377,0.122053,15.475,1.225,-0.00771068,0,99999.5,298
0.25,1.65,10.034,0.104691,16.4786,1.225,-0.00692832,0,99999.6,298
0.25,1.75,10.0309,0.0889247,17.4818,1.225,-0.00627471,0,99999.6,298
0.25,1.85,10.0283,0.0745162,18.4847,1.225,-0.00572812,0,99999.7,298
0.25,1.95,10.0261,0.0612579,19.4875,1.225,-0.0052741,0,99999.7,298
0.25,2.05,10.0244,0.0489614,20.49,1.225,-0.00490344,0,99999.7,298
0.25,2.15,10.023,0.0374479,21.4923,1.225,-0.00461059,0,99999.7,298
0.25,2.25,10.0219,0.0265437,22.4946,1.225,-0.00439252,0,99999.7,298
0.25,2.35,10.0212,0.0160753,23.4967,1.225,-0.00424777,0,99999.8,298
0.25,2.45,10.0209,0.00586853,24.4988,1.225,-0.00417578,0,99999.8,298
0.25,2.55,10.0209,-0.00425213,25.5009,1.225,-0.0041764,0,99999.8,298
