X,Y,U,V,Stream,Density,Cp,Solid
0.03,0.03,11.7904,1.69747,0.25093,1.225,-0.41896,0
0.03,0.05,10.7723,1.15702,0.471618,1.225,-0.173813,0
0.03,0.07,10.4045,0.803191,0.681822,1.225,-0.0889879,0
0.03,0.09,10.2492,0.560545,0.887798,1.225,-0.0536097,0
0.03,0.11,10.173,0.383783,1.09179,1.225,-0.0363758,0
0.03,0.13,10.1302,0.247914,1.29472,1.225,-0.0268261,0
0.03,0.15,10.1032,0.139144,1.497,1.225,-0.0209361,0
0.03,0.17,10.0843,0.0496798,1.69885,1.225,-0.0169511,0
0.03,0.19,10.0698,-0.0249754,1.90037,1.225,-0.0140167,0
0.03,0.21,10.0578,-0.0874448,2.10164,1.225,-0.0116766,0
0.03,0.23,10.0473,-0.139241,2.30268,1.225,-0.00966816,0
0.03,0.25,10.0375,-0.1812,2.50353,1.225,-0.00783246,0
0.03,0.27,10.028,-0.213748,2.70418,1.225,-0.00607173,0
0.03,0.29,10.0188,-0.237075,2.90465,1.225,-0.00432845,0
0.03,0.31,10.0097,-0.251258,3.10493,1.225,-0.00257468,0
0.03,0.33,10.0007,-0.256363,3.30504,1.225,-0.000806338,0
0.03,0.35,9.99201,-0.252521,3.50496,1.225,0.000960314,0
0.03,0.37,9.98365,-0.239997,3.70472,1.225,0.00269165,0
0.03,0.39,9.97587,-0.219241,3.90431,1.225,0.00434001,0
0.03,0.41,9.96889,-0.190929,4.10375,1.225,0.00584801,0
0.03,0.43,9.96295,-0.155983,4.30307,1.225,0.00715373,0
0.03,0.45,9.95826,-0.115564,4.50227,1.225,0.00819686,0
0.03,0.47,9.95502,-0.0710584,4.7014,1.225,0.00892497,0
0.03,0.49,9.95337,-0.0240239,4.90047,1.225,0.00929934,0
0.03,0.51,9.95337,0.0238662,5.09953,1.225,0.00929937,0
0.03,0.53,9.95502,0.0709002,5.29861,1.225,0.00892508,0
0.03,0.55,9.95826,0.115405,5.49773,1.225,0.00819704,0
0.03,0.57,9.96295,0.155823,5.69694,1.225,0.007154,0
0.03,0.59,9.96889,0.190768,5.89625,1.225,0.00584838,0
0.03,0.61,9.97587,0.219078,6.09569,1.225,0.0043405,0
0.03,0.63,9.98365,0.239833,6.29528,1.225,0.00269227,0
0.03,0.65,9.99201,0.252357,6.49504,1.225,0.000961077,0
0.03,0.67,10.0007,0.256199,6.69496,1.225,-0.000805423,0
0.03,0.69,10.0097,0.251094,6.89507,1.225,-0.00257361,0
0.03,0.71,10.0188,0.236912,7.09535,1.225,-0.00432722,0
0.03,0.73,10.028,0.213588,7.29582,1.225,-0.00607033,0
0.03,0.75,10.0374,0.181044,7.49647,1.225,-0.0078309,0
0.03,0.77,10.0473,0.139091,7.69732,1.225,-0.00966646,0
0.03,0.79,10.0578,0.087302,7.89836,1.225,-0.0116748,0
0.03,0.81,10.0698,0.0248412,8.09963,1.225,-0.0140148,0
0.03,0.83,10.0843,-0.0498037,8.30116,1.225,-0.016949,0
0.03,0.85,10.1032,-0.139256,8.503,1.225,-0.0209339,0
0.03,0.87,10.1302,-0.248014,8.70528,1.225,-0.0268238,0
0.03,0.89,10.173,-0.383868,8.90821,1.225,-0.0363735,0
0.03,0.91,10.2492,-0.560614,9.1122,1.225,-0.0536072,0
0.03,0.93,10.4045,-0.803244,9.31818,1.225,-0.0889852,0
0.03,0.95,10.7723,-1.15705,9.52838,1.225,-0.17381,0
0.03,0.97,11.7904,-1.69748,9.74907,1.225,-0.418956,0
0.05,0.03,11.343,0.679336,0.232101,1.225,-0.291248,0
0.05,0.05,10.8943,0.7083,0.453719,1.225,-0.191869,0
0.05,0.07,10.5965,0.586304,0.667872,1.225,-0.12629,0
0.05,0.09,10.4194,0.445098,0.877578,1.225,-0.0876218,0
0.05,0.11,10.3126,0.316238,1.08465,1.225,-0.0645035,0
0.05,0.13,10.2446,0.204662,1.29008,1.225,-0.0499453,0
0.05,0.15,10.1982,0.108964,1.49443,1.225,-0.0401586,0
0.05,0.17,10.1641,0.0268419,1.69801,1.225,-0.0331003,0
0.05,0.19,10.1371,-0.0435985,1.901,1.225,-0.0276319,0
0.05,0.21,10.1143,-0.103654,2.1035,1.225,-0.0230911,0
0.05,0.23,10.0938,-0.154113,2.30557,1.225,-0.0190764,0
0.05,0.25,10.0745,-0.195382,2.50725,1.225,-0.0153387,0
0.05,0.27,10.0559,-0.227611,2.70855,1.225,-0.0117243,0
0.05,0.29,10.0375,-0.250794,2.90948,1.225,-0.00814511,0
0.05,0.31,10.0193,-0.26486,3.11005,1.225,-0.00456297,0
0.05,0.33,10.0013,-0.269751,3.31025,1.225,-0.000980311,0
0.05,0.35,9.98363,-0.265499,3.5101,1.225,0.00256572,0
0.05,0.37,9.96672,-0.252289,3.7096,1.225,0.00600852,0
0.05,0.39,9.95093,-0.230515,3.90877,1.225,0.00925803,0
0.05,0.41,9.93674,-0.200823,4.10764,1.225,0.0122083,0
0.05,0.43,9.92463,-0.164136,4.30624,1.225,0.0147468,0
0.05,0.45,9.91508,-0.121653,4.50462,1.225,0.0167648,0
0.05,0.47,9.90846,-0.074823,4.70284,1.225,0.0181683,0
0.05,0.49,9.90508,-0.0252971,4.90096,1.225,0.0188884,0
0.05,0.51,9.90508,0.0251421,5.09905,1.225,0.0188884,0
0.05,0.53,9.90846,0.0746675,5.29716,1.225,0.0181683,0
0.05,0.55,9.91508,0.121497,5.49538,1.225,0.0167647,0
0.05,0.57,9.92464,0.163979,5.69377,1.225,0.0147468,0
0.05,0.59,9.93674,0.200664,5.89237,1.225,0.0122085,0
0.05,0.61,9.95094,0.230354,6.09124,1.225,0.0092583,0
0.05,0.63,9.96672,0.252127,6.29041,1.225,0.00600897,0
0.05,0.65,9.98363,0.265336,6.48991,1.225,0.00256641,0
0.05,0.67,10.0013,0.269588,6.68975,1.225,-0.000979326,0
0.05,0.69,10.0193,0.264697,6.88996,1.225,-0.00456165,0
0.05,0.71,10.0375,0.250632,7.09052,1.225,-0.0081434,0
0.05,0.73,10.0559,0.227452,7.29146,1.225,-0.0117221,0
0.05,0.75,10.0745,0.195227,7.49276,1.225,-0.0153361,0
0.05,0.77,10.0937,0.153963,7.69444,1.225,-0.0190734,0
0.05,0.79,10.1142,0.103511,7.89651,1.225,-0.0230876,0
0.05,0.81,10.1371,0.0434638,8.09901,1.225,-0.027628,0
0.05,0.83,10.1641,-0.0269665,8.30199,1.225,-0.033096,0
0.05,0.85,10.1982,-0.109077,8.50557,1.225,-0.0401538,0
0.05,0.87,10.2446,-0.204761,8.70992,1.225,-0.04994,0
0.05,0.89,10.3126,-0.316324,8.91535,1.225,-0.0644978,0
0.05,0.91,10.4194,-0.445168,9.12242,1.225,-0.0876157,0
0.05,0.93,10.5964,-0.586357,9.33213,1.225,-0.126283,0
0.05,0.95,10.8942,-0.708336,9.54628,1.225,-0.191862,0
0.05,0.97,11.3429,-0.679354,9.7679,1.225,-0.29124,0
0.07,0.03,11.0821,0.311579,0.223756,1.225,-0.22911,0
0.07,0.05,10.8653,0.410544,0.443286,1.225,-0.182241,0
0.07,0.07,10.6677,0.388625,0.65837,1.225,-0.139509,0
0.07,0.09,10.5193,0.317307,0.869994,1.225,-0.107563,0
0.07,0.11,10.4135,0.231411,1.07914,1.225,-0.0849359,0
0.07,0.13,10.3375,0.14553,1.28653,1.225,-0.0688475,0
0.07,0.15,10.281,0.0652091,1.49264,1.225,-0.0570321,0
0.07,0.17,10.2368,-0.0076769,1.69777,1.225,-0.0479294,0
