X,Y,U,V,Stream,Density,Cp,Solid
0.06,0.06,11.8537,1.63138,0.504447,1.225,-0.431719,0
0.06,0.1,10.8312,1.0275,0.948297,1.225,-0.183704,0
0.06,0.14,10.4556,0.615913,1.37094,1.225,-0.0969845,0
0.06,0.18,10.2884,0.324825,1.78474,1.225,-0.0595759,0
0.06,0.22,10.1957,0.113411,2.19402,1.225,-0.0396505,0
0.06,0.26,10.1314,-0.0381187,2.6004,1.225,-0.0264654,0
0.06,0.3,10.0784,-0.138086,3.00453,1.225,-0.0159269,0
0.06,0.34,10.0307,-0.189548,3.40667,1.225,-0.00650379,0
0.06,0.38,9.98782,-0.19459,3.80698,1.225,0.00205506,0
0.06,0.42,9.9525,-0.157666,4.20569,1.225,0.00922828,0
0.06,0.46,9.92882,-0.0879538,4.60318,1.225,0.0141072,0
0.06,0.5,9.92044,-1.49338e-05,5,1.225,0.0158482,0
0.06,0.54,9.92882,0.0879238,5.39682,1.225,0.0141072,0
0.06,0.58,9.9525,0.157635,5.79431,1.225,0.00922826,0
0.06,0.62,9.98782,0.194558,6.19302,1.225,0.00205508,0
0.06,0.66,10.0307,0.189516,6.59333,1.225,-0.00650369,0
0.06,0.7,10.0784,0.138054,6.99547,1.225,-0.0159267,0
0.06,0.74,10.1314,0.0380877,7.3996,1.225,-0.0264651,0
0.06,0.78,10.1957,-0.113439,7.80598,1.225,-0.03965,0
0.06,0.82,10.2884,-0.32485,8.21526,1.225,-0.0595751,0
0.06,0.86,10.4556,-0.615933,8.62906,1.225,-0.0969836,0
0.06,0.9,10.8312,-1.02752,9.0517,1.225,-0.183703,0
0.06,0.94,11.8537,-1.63139,9.49555,1.225,-0.431718,0
0.1,0.06,11.4725,0.609183,0.46949,1.225,-0.319893,0
0.1,0.1,11.0155,0.570142,0.9178,1.225,-0.216656,0
0.1,0.14,10.7027,0.384873,1.35073,1.225,-0.146954,0
0.1,0.18,10.5025,0.188559,1.77401,1.225,-0.103381,0
0.1,0.22,10.3629,0.0173699,2.19093,1.225,-0.0739091,0
0.1,0.26,10.2515,-0.117827,2.60305,1.225,-0.0510707,0
0.1,0.3,10.1514,-0.211461,3.01105,1.225,-0.0309623,0
0.1,0.34,10.0565,-0.258795,3.41516,1.225,-0.0120025,0
0.1,0.38,9.96812,-0.256578,3.81557,1.225,0.00570796,0
0.1,0.42,9.89336,-0.20575,4.21261,1.225,0.0207902,0
0.1,0.46,9.84235,-0.114561,4.60704,1.225,0.0311504,0
0.1,0.5,9.82412,-1.37177e-05,5,1.225,0.0348662,0
0.1,0.54,9.84235,0.114533,5.39297,1.225,0.0311503,0
0.1,0.58,9.89337,0.205722,5.78739,1.225,0.02079,0
0.1,0.62,9.96812,0.256548,6.18444,1.225,0.00570785,0
0.1,0.66,10.0565,0.258764,6.58484,1.225,-0.0120024,0
0.1,0.7,10.1514,0.211429,6.98896,1.225,-0.030962,0
0.1,0.74,10.2515,0.117796,7.39695,1.225,-0.0510699,0
0.1,0.78,10.3629,-0.0173991,7.80908,1.225,-0.0739079,0
0.1,0.82,10.5025,-0.188585,8.22599,1.225,-0.103379,0
0.1,0.86,10.7027,-0.384893,8.64927,1.225,-0.146952,0
0.1,0.9,11.0155,-0.570156,9.0822,1.225,-0.216653,0
0.1,0.94,11.4725,-0.60919,9.53051,1.225,-0.31989,0
0.14,0.06,11.2836,0.235211,0.455712,1.225,-0.273743,0
0.14,0.1,11.0555,0.25901,0.902686,1.225,-0.222912,0
0.14,0.14,10.8372,0.164877,1.34015,1.225,-0.174712,0
0.14,0.18,10.6559,0.0271704,1.76966,1.225,-0.135499,0
0.14,0.22,10.5021,-0.114663,2.19263,1.225,-0.103069,0
0.14,0.26,10.3602,-0.239098,2.60983,1.225,-0.0739137,0
0.14,0.3,10.2193,-0.331134,3.02145,1.225,-0.0454461,0
0.14,0.34,10.0758,-0.377594,3.42737,1.225,-0.0166419,0
0.14,0.38,9.93478,-0.367177,3.82751,1.225,0.0116534,0
0.14,0.42,9.81049,-0.294196,4.22215,1.225,0.0366782,0
0.14,0.46,9.72309,-0.164527,4.61235,1.225,0.0543451,0
0.14,0.5,9.69135,-1.16852e-05,5,1.225,0.0607778,0
0.14,0.54,9.72309,0.164503,5.38766,1.225,0.0543449,0
0.14,0.58,9.81049,0.294171,5.77785,1.225,0.0366778,0
0.14,0.62,9.93478,0.36715,6.17249,1.225,0.0116531,0
0.14,0.66,10.0758,0.377564,6.57263,1.225,-0.016642,0
0.14,0.7,10.2193,0.331103,6.97856,1.225,-0.0454457,0
0.14,0.74,10.3602,0.239066,7.39018,1.225,-0.0739126,0
0.14,0.78,10.5021,0.114633,7.80738,1.225,-0.103067,0
0.14,0.82,10.6559,-0.0271972,8.23034,1.225,-0.135497,0
0.14,0.86,10.8371,-0.164898,8.65985,1.225,-0.174709,0
0.14,0.9,11.0555,-0.259025,9.09732,1.225,-0.222907,0
0.14,0.94,11.2836,-0.235219,9.54429,1.225,-0.273738,0
0.18,0.06,11.2135,0.07265,0.450673,1.225,-0.257476,0
0.18,0.1,11.0858,0.065811,0.897079,1.225,-0.228993,0
0.18,0.14,10.9345,-0.0115461,1.33754,1.225,-0.195638,0
0.18,0.18,10.782,-0.130091,1.77184,1.225,-0.162694,0
0.18,0.22,10.6292,-0.264093,2.2001,1.225,-0.130499,0
0.18,0.26,10.468,-0.392767,2.62218,1.225,-0.0973261,0
0.18,0.3,10.2899,-0.496382,3.03754,1.225,-0.0612896,0
0.18,0.34,10.0925,-0.553268,3.44537,1.225,-0.0216562,0
0.18,0.38,9.88472,-0.54034,3.84494,1.225,0.0200034,0
0.18,0.42,9.69071,-0.43933,4.23615,1.225,0.0589706,0
0.18,0.46,9.54816,-0.249337,4.6202,1.225,0.0877038,0
0.18,0.5,9.49509,-8.60555e-06,5,1.225,0.098432,0
0.18,0.54,9.54817,0.249319,5.37981,1.225,0.0877033,0
0.18,0.58,9.69072,0.439309,5.76386,1.225,0.0589698,0
0.18,0.62,9.88473,0.540316,6.15506,1.225,0.0200026,0
0.18,0.66,10.0926,0.55324,6.55463,1.225,-0.0216567,0
0.18,0.7,10.2899,0.496352,6.96247,1.225,-0.0612894,0
0.18,0.74,10.468,0.392735,7.37783,1.225,-0.097325,0
0.18,0.78,10.6292,0.264061,7.7999,1.225,-0.130497,0
0.18,0.82,10.782,0.130063,8.22816,1.225,-0.16269,0
0.18,0.86,10.9345,0.0115225,8.66247,1.225,-0.195633,0
0.18,0.9,11.0858,-0.0658278,9.10292,1.225,-0.228987,0
0.18,0.94,11.2135,-0.0726587,9.54933,1.225,-0.257469,0
0.22,0.06,11.2178,-0.0104215,0.4499,1.225,-0.258383,0
0.22,0.1,11.1397,-0.0568695,0.897421,1.225,-0.240961,0
0.22,0.14,11.0331,-0.146781,1.34108,1.225,-0.2175,0
0.22,0.18,10.9085,-0.271895,1.78007,1.225,-0.190692,0
0.22,0.22,10.7648,-0.41885,2.21376,1.225,-0.160554,0
0.22,0.26,10.5925,-0.571495,2.64125,1.225,-0.125279,0
0.22,0.3,10.3798,-0.708359,3.06116,1.225,-0.0824292,0
0.22,0.34,10.1198,-0.798756,3.47163,1.225,-0.0304737,0
0.22,0.38,9.82084,-0.801584,3.87074,1.225,0.0290855,0
0.22,0.42,9.51948,-0.673445,4.2573,1.225,0.0892592,0
0.22,0.46,9.28377,-0.393482,4.63229,1.225,0.136569,0
0.22,0.5,9.19269,-4.34067e-06,5,1.225,0.154944,0
0.22,0.54,9.28377,0.393472,5.36771,1.225,0.136568,0
0.22,0.58,9.51949,0.673431,5.7427,1.225,0.0892577,0
0.22,0.62,9.82085,0.801564,6.12927,1.225,0.0290839,0
0.22,0.66,10.1198,0.798731,6.52837,1.225,-0.0304749,0
0.22,0.7,10.3798,0.708329,6.93885,1.225,-0.0824295,0
0.22,0.74,10.5925,0.571462,7.35876,1.225,-0.125278,0
0.22,0.78,10.7647,0.418816,7.78625,1.225,-0.160552,0
0.22,0.82,10.9085,0.271864,8.21994,1.225,-0.190687,0
0.22,0.86,11.033,0.146754,8.65893,1.225,-0.217494,0
0.22,0.9,11.1397,0.0568507,9.10258,1.225,-0.240953,0
0.22,0.94,11.2177,0.0104117,9.5501,1.225,-0.258374,0
0.26,0.06,11.2704,-0.0574663,0.451507,1.225,-0.270243,0
0.26,0.1,11.2222,-0.136087,0.901629,1.225,-0.259554,0
0.26,0.14,11.1495,-0.246811,1.34928,1.225,-0.243732,0
0.26,0.18,11.0541,-0.391858,1.79359,1.225,-0.223469,0
0.26,0.22,10.9288,-0.567916,2.23361,1.225,-0.197615,0
0.26,0.26,10.7575,-0.766004,2.6679,1.225,-0.163101,0
0.26,0.3,10.5172,-0.966803,3.09421,1.225,-0.115459,0
0.26,0.34,10.1858,-1.13181,3.50927,1.225,-0.0503095,0
0.26,0.38,9.75941,-1.19379,3.90907,1.225,0.0332879,0
0.26,0.42,9.28261,-1.05939,4.29002,1.225,0.127108,0
0.26,0.46,8.87472,-0.65114,4.65168,1.225,0.208153,0
0.26,0.5,8.70814,1.49038e-06,5,1.225,0.241683,0
0.26,0.54,8.87473,0.651141,5.34833,1.225,0.208151,0
0.26,0.58,9.28263,1.05938,5.70998,1.225,0.127106,0
0.26,0.62,9.75943,1.19378,6.09094,1.225,0.0332849,0
0.26,0.66,10.1858,1.13179,6.49074,1.225,-0.050312,0
0.26,0.7,10.5172,0.966772,6.9058,1.225,-0.11546,0
0.26,0.74,10.7575,0.765967,7.33211,1.225,-0.1631,0
0.26,0.78,10.9288,0.567878,7.7664,1.225,-0.197611,0
0.26,0.82,11.0541,0.391822,8.20641,1.225,-0.223464,0
0.26,0.86,11.1495,0.246781,8.65073,1.225,-0.243724,0
0.26,0.9,11.2221,0.136065,9.09838,1.225,-0.259544,0
0.26,0.94,11.2703,0.0574549,9.5485,1.225,-0.270232,0
0.3,0.06,11.3538,-0.0833568,0.454497,1.225,-0.289168,0
0.3,0.1,11.329,-0.183199,0.908308,1.225,-0.283807,0
0.3,0.14,11.2888,-0.312519,1.36082,1.225,-0.275354,0
0.3,0.18,11.2296,-0.480809,1.81141,1.225,-0.263351,0
0.3,0.22,11.1389,-0.694953,2.25919,1.225,-0.245581,0
0.3,0.26,10.9914,-0.957799,2.70253,1.225,-0.217282,0
0.3,0.3,10.7457,-1.26103,3.1385,1.225,-0.170593,0
