X,Y,U,V,Stream,Density,Cp,Solid
0.1,0.1,11.9953,1.47394,0.850714,1.225,-0.460608,0
0.1,0.166667,10.9462,0.725514,1.59938,1.225,-0.203453,0
0.1,0.233333,10.5179,0.202443,2.3102,1.225,-0.106673,0
0.1,0.3,10.2661,-0.133836,3.00177,1.225,-0.0541031,0
0.1,0.366667,10.0648,-0.279192,3.67902,1.225,-0.0137776,0
0.1,0.433333,9.90738,-0.219494,4.34374,1.225,0.0179555,0
0.1,0.5,9.84395,-3.72548e-06,5,1.225,0.0309669,0
0.1,0.566667,9.90739,0.219486,5.65626,1.225,0.0179554,0
0.1,0.633333,10.0648,0.279184,6.32098,1.225,-0.0137776,0
0.1,0.7,10.2661,0.133827,6.99823,1.225,-0.054103,0
0.1,0.766667,10.5179,-0.202451,7.6898,1.225,-0.106673,0
0.1,0.833333,10.9462,-0.72552,8.40062,1.225,-0.203453,0
0.1,0.9,11.9953,-1.47394,9.14929,1.225,-0.460607,0
0.166667,0.1,11.7745,0.430934,0.803475,1.225,-0.388242,0
0.166667,0.166667,11.2715,0.216364,1.56993,1.225,-0.270934,0
0.166667,0.233333,10.8593,-0.128832,2.30634,1.225,-0.179421,0
0.166667,0.3,10.4816,-0.432098,3.01784,1.225,-0.100514,0
0.166667,0.366667,10.0857,-0.578204,3.70389,1.225,-0.0205481,0
0.166667,0.433333,9.72081,-0.442722,4.3626,1.225,0.0530982,0
0.166667,0.5,9.56102,-2.59733e-06,5,1.225,0.0858689,0
0.166667,0.566667,9.72081,0.442716,5.6374,1.225,0.053098,0
0.166667,0.633333,10.0857,0.578197,6.29611,1.225,-0.0205483,0
0.166667,0.7,10.4816,0.432089,6.98216,1.225,-0.100514,0
0.166667,0.766667,10.8593,0.128823,7.69366,1.225,-0.17942,0
0.166667,0.833333,11.2715,-0.216372,8.43007,1.225,-0.270933,0
0.166667,0.9,11.7745,-0.430939,9.19653,1.225,-0.388241,0
0.233333,0.1,11.779,0.0334376,0.793256,1.225,-0.387455,0
0.233333,0.166667,11.506,-0.162159,1.57053,1.225,-0.324132,0
0.233333,0.233333,11.1664,-0.502037,2.32738,1.225,-0.249398,0
0.233333,0.3,10.7155,-0.887519,3.05938,1.225,-0.156086,0
0.233333,0.366667,10.0754,-1.15881,3.75611,1.225,-0.028566,0
0.233333,0.433333,9.32918,-0.973185,4.40277,1.225,0.120193,0
0.233333,0.5,8.95851,-6.02033e-07,5,1.225,0.197451,0
0.233333,0.566667,9.32919,0.973183,5.59723,1.225,0.120192,0
0.233333,0.633333,10.0754,1.1588,6.24389,1.225,-0.0285665,0
0.233333,0.7,10.7155,0.887511,6.94062,1.225,-0.156086,0
0.233333,0.766667,11.1664,0.502026,7.67262,1.225,-0.249397,0
0.233333,0.833333,11.5059,0.16215,8.42947,1.225,-0.324131,0
0.233333,0.9,11.779,-0.0334427,9.20675,1.225,-0.387452,0
0.3,0.1,11.9366,-0.135025,0.799017,1.225,-0.425017,0
0.3,0.166667,11.807,-0.396399,1.59155,1.225,-0.395616,0
0.3,0.233333,11.5847,-0.829636,2.37328,1.225,-0.348938,0
0.3,0.3,11.1384,-1.45714,3.13618,1.225,-0.261873,0
0.3,0.366667,10.1713,-2.19631,3.8584,1.225,-0.0827962,0
0.3,0.433333,8.56201,-2.29121,4.49236,1.225,0.214424,0
0.3,0.5,7.61465,2.4878e-06,5,1.225,0.420171,0
0.3,0.566667,8.56201,2.29122,5.50764,1.225,0.214423,0
0.3,0.633333,10.1713,2.19631,6.1416,1.225,-0.0827976,0
0.3,0.7,11.1384,1.45713,6.86382,1.225,-0.261874,0
0.3,0.766667,11.5847,0.829623,7.62672,1.225,-0.348937,0
0.3,0.833333,11.807,0.396387,8.40845,1.225,-0.395614,0
0.3,0.9,11.9366,0.135018,9.20098,1.225,-0.425013,0
0.366667,0.1,12.1754,-0.177138,0.811259,1.225,-0.482712,0
0.366667,0.166667,12.2006,-0.458775,1.62338,1.225,-0.490642,0
0.366667,0.233333,12.2271,-0.962972,2.438,1.225,-0.504294,0
0.366667,0.3,12.0821,-1.91508,3.25366,1.225,-0.496454,0
0.366667,0.366667,10.9095,-3.8781,4.04895,1.225,-0.340564,0
0.366667,0.433333,7.13287,-5.99536,4.70826,1.225,0.131779,0
0.366667,0.5,4.37608,6.3966e-06,5,1.225,0.808499,0
0.366667,0.566667,7.13288,5.99537,5.29174,1.225,0.131775,0
0.366667,0.633333,10.9095,3.8781,5.95105,1.225,-0.340568,0
0.366667,0.7,12.0821,1.91506,6.74634,1.225,-0.496456,0
0.366667,0.766667,12.2271,0.962953,7.562,1.225,-0.504293,0
0.366667,0.833333,12.2005,0.458759,8.37662,1.225,-0.490639,0
0.366667,0.9,12.1754,0.177129,9.18874,1.225,-0.482707,0
0.433333,0.1,12.3954,-0.114752,0.822635,1.225,-0.536596,0
0.433333,0.166667,12.5928,-0.298591,1.65272,1.225,-0.586678,0
0.433333,0.233333,13.041,-0.648396,2.50168,1.225,-0.704885,0
0.433333,0.3,14.0535,-1.36211,3.39152,1.225,-0.99357,0
0.433333,0.366667,16.7475,-2.90977,4.37548,1.225,-1.88945,0
0.433333,0.433333,44.5755,-28.4761,5,1e-10,-26.9787,1
