X,Y,U,V,Stream,Density,Cp,Solid
0.3,0.3,11.8134,1.67425,2.51392,1.225,-0.423605,0
0.3,0.5,10.7948,1.11065,4.72538,1.225,-0.177615,0
0.3,0.7,10.4258,0.734258,6.83184,1.225,-0.0923686,0
0.3,0.9,10.2687,0.470847,8.8957,1.225,-0.0566719,0
0.3,1.1,10.1912,0.276629,10.9393,1.225,-0.0393736,0
0.3,1.3,10.1517,0.126377,12.9722,1.225,-0.0307337,0
0.3,1.5,10.139,1.0551e-05,15,1.225,-0.028002,0
0.3,1.7,10.1517,-0.126357,17.0278,1.225,-0.0307338,0
0.3,1.9,10.1912,-0.276611,19.0607,1.225,-0.0393739,0
0.3,2.1,10.2687,-0.470831,21.1043,1.225,-0.0566723,0
0.3,2.3,10.4258,-0.734245,23.1682,1.225,-0.0923692,0
0.3,2.5,10.7948,-1.11064,25.2746,1.225,-0.177616,0
0.3,2.7,11.8134,-1.67424,27.4861,1.225,-0.423606,0
0.5,0.3,11.3893,0.655941,2.3303,1.225,-0.301475,0
0.5,0.5,10.94,0.660973,4.55574,1.225,-0.201203,0
0.5,0.7,10.6398,0.514753,6.7063,1.225,-0.134704,0
0.5,0.9,10.4576,0.351021,8.81166,1.225,-0.094852,0
0.5,1.1,10.3445,0.205844,10.8893,1.225,-0.0705044,0
0.5,1.3,10.2766,0.0898145,12.9494,1.225,-0.0561696,0
0.5,1.5,10.2527,1.0034e-05,15,1.225,-0.0511855,0
0.5,1.7,10.2766,-0.0897942,17.0505,1.225,-0.05617,0
0.5,1.9,10.3445,-0.205826,19.1106,1.225,-0.0705051,0
0.5,2.1,10.4576,-0.351005,21.1883,1.225,-0.0948531,0
0.5,2.3,10.6398,-0.51474,23.2937,1.225,-0.134705,0
0.5,2.5,10.94,-0.660964,25.4443,1.225,-0.201205,0
0.5,2.7,11.3894,-0.655937,27.6697,1.225,-0.301477,0
0.7,0.3,11.1525,0.288544,2.25154,1.225,-0.244608,0
0.7,0.5,10.936,0.362546,4.46099,1.225,-0.197276,0
0.7,0.7,10.7358,0.31276,6.62594,1.225,-0.153546,0
0.7,0.9,10.5776,0.212639,8.7553,1.225,-0.119303,0
0.7,1.1,10.4524,0.105912,10.857,1.225,-0.092643,0
0.7,1.3,10.3576,0.0270248,12.9363,1.225,-0.0727963,0
0.7,1.5,10.3187,1.02264e-05,15,1.225,-0.0647458,0
0.7,1.7,10.3576,-0.0270057,17.0637,1.225,-0.072797,0
0.7,1.9,10.4524,-0.105894,19.143,1.225,-0.0926443,0
0.7,2.1,10.5776,-0.212624,21.2447,1.225,-0.119305,0
0.7,2.3,10.7358,-0.312747,23.374,1.225,-0.153548,0
0.7,2.5,10.936,-0.362538,25.539,1.225,-0.197278,0
0.7,2.7,11.1525,-0.288539,27.7485,1.225,-0.244611,0
0.9,0.3,11.0268,0.135687,2.21488,1.225,-0.216088,0
0.9,0.5,10.9158,0.187909,4.41072,1.225,-0.191895,0
0.9,0.7,10.7897,0.1611,6.58119,1.225,-0.164438,0
0.9,0.9,10.6645,0.080862,8.72661,1.225,-0.137376,0
0.9,1.1,10.5301,-0.0218601,10.847,1.225,-0.108831,0
0.9,1.3,10.3825,-0.0876368,12.9386,1.225,-0.0780442,0
0.9,1.5,10.3068,9.67268e-06,15,1.225,-0.0622939,0
0.9,1.7,10.3825,0.087656,17.0613,1.225,-0.0780452,0
0.9,1.9,10.5301,0.0218769,19.153,1.225,-0.108833,0
0.9,2.1,10.6645,-0.080847,21.2734,1.225,-0.137378,0
0.9,2.3,10.7897,-0.161089,23.4188,1.225,-0.164441,0
0.9,2.5,10.9158,-0.1879,25.5893,1.225,-0.191898,0
0.9,2.7,11.0268,-0.135683,27.7851,1.225,-0.216092,0
1.1,0.3,10.9646,0.0662968,2.19727,1.225,-0.202259,0
1.1,0.5,10.9106,0.0922996,4.38582,1.225,-0.190495,0
1.1,0.7,10.8428,0.0628713,6.5615,1.225,-0.175707,0
1.1,0.9,10.7605,-0.0284324,8.72295,1.225,-0.157899,0
1.1,1.1,10.6209,-0.186577,10.8657,1.225,-0.128387,0
1.1,1.3,10.3357,-0.355723,12.9713,1.225,-0.0695289,0
1.1,1.5,10.1434,1.01328e-05,15,1.225,-0.0288773,0
1.1,1.7,10.3357,0.355741,17.0287,1.225,-0.0695302,0
1.1,1.9,10.6209,0.186594,19.1343,1.225,-0.12839,0
1.1,2.1,10.7605,0.0284458,21.277,1.225,-0.157902,0
1.1,2.3,10.8428,-0.0628602,23.4385,1.225,-0.175711,0
1.1,2.5,10.9106,-0.0922922,25.6142,1.225,-0.190499,0
1.1,2.7,10.9646,-0.0662928,27.8027,1.225,-0.202264,0
1.3,0.3,10.9345,0.0371998,2.18836,1.225,-0.195648,0
1.3,0.5,10.9192,0.0521223,4.3738,1.225,-0.192317,0
1.3,0.7,10.9104,0.0265166,6.55604,1.225,-0.190385,0
1.3,0.9,10.9139,-0.0708848,8.73798,1.225,-0.191188,0
1.3,1.1,10.8574,-0.340295,10.9216,1.225,-0.179984,0
1.3,1.3,10.1959,-1.14869,13.0809,1.225,-0.0527655,0
1.3,1.5,9.5953,9.51258e-06,15,1.225,0.0793022,0
1.3,1.7,10.1959,1.14871,16.919,1.225,-0.0527676,0
1.3,1.9,10.8574,0.340309,19.0784,1.225,-0.179987,0
1.3,2.1,10.9139,0.0708975,21.262,1.225,-0.191191,0
1.3,2.3,10.9105,-0.0265069,23.4439,1.225,-0.190389,0
1.3,2.5,10.9192,-0.0521152,25.6262,1.225,-0.192322,0
1.3,2.7,10.9345,-0.0371963,27.8116,1.225,-0.195653,0
1.5,0.3,10.9124,0.0303802,2.18239,1.225,-0.190822,0
1.5,0.5,10.9213,0.0524724,4.36497,1.225,-0.192769,0
1.5,0.7,10.9658,0.0619581,6.5509,1.225,-0.202532,0
1.5,0.9,11.1273,0.05867,8.7513,1.225,-0.238213,0
1.5,1.1,11.6987,0.0449721,11.0018,1.225,-0.368621,0
1.5,1.3,13.9184,0.0242339,13.4308,1.225,-0.937214,0
1.5,1.5,15.6919,1.07807e-05,15,1e-10,-1.46237,1
1.5,1.7,13.9184,-0.0242215,16.5692,1.225,-0.937216,0
1.5,1.9,11.6987,-0.0449595,18.9981,1.225,-0.368625,0
1.5,2.1,11.1274,-0.0586592,21.2487,1.225,-0.238217,0
1.5,2.3,10.9658,-0.0619491,23.4491,1.225,-0.202537,0
1.5,2.5,10.9213,-0.0524663,25.635,1.225,-0.192775,0
1.5,2.7,10.9125,-0.0303769,27.8176,1.225,-0.190828,0
1.7,0.3,10.882,0.0318482,2.17621,1.225,-0.184196,0
1.7,0.5,10.8876,0.0654293,4.35281,1.225,-0.185446,0
1.7,0.7,10.9042,0.110172,6.53126,1.225,-0.189147,0
