X,Y,U,V,Stream,Density,Cp,Solid
0.18,0.18,11.7655,1.72279,1.50256,1.225,-0.413946,0
0.18,0.3,10.7479,1.20731,2.82372,1.225,-0.169748,0
0.18,0.42,10.381,0.877714,4.08206,1.225,-0.0853581,0
0.18,0.54,10.227,0.658197,5.31516,1.225,-0.0502572,0
0.18,0.66,10.1525,0.503082,6.53655,1.225,-0.0332724,0
0.18,0.78,10.1119,0.386968,7.75177,1.225,-0.0240027,0
0.18,0.9,10.0876,0.295599,8.9634,1.225,-0.0184654,0
0.18,1.02,10.0721,0.220621,10.1728,1.225,-0.0149488,0
0.18,1.14,10.0618,0.15681,11.3807,1.225,-0.012652,0
0.18,1.26,10.0553,0.100576,12.5876,1.225,-0.0111841,0
0.18,1.38,10.0515,0.049132,13.794,1.225,-0.010357,0
0.18,1.5,10.0503,3.01261e-05,15,1.225,-0.0100888,0
0.18,1.62,10.0515,-0.049073,16.206,1.225,-0.0103571,0
0.18,1.74,10.0553,-0.100518,17.4124,1.225,-0.0111844,0
0.18,1.86,10.0618,-0.156755,18.6193,1.225,-0.0126524,0
0.18,1.98,10.0721,-0.220569,19.8272,1.225,-0.0149493,0
0.18,2.1,10.0876,-0.295551,21.0366,1.225,-0.0184661,0
0.18,2.22,10.1119,-0.386926,22.2482,1.225,-0.0240035,0
0.18,2.34,10.1526,-0.503045,23.4634,1.225,-0.0332733,0
0.18,2.46,10.2271,-0.658167,24.6848,1.225,-0.0502582,0
0.18,2.58,10.381,-0.877691,25.9179,1.225,-0.0853592,0
0.18,2.7,10.7479,-1.20729,27.1763,1.225,-0.169749,0
0.18,2.82,11.7655,-1.72279,28.4974,1.225,-0.413948,0
0.3,0.18,11.2927,0.705212,1.38653,1.225,-0.280222,0
0.3,0.3,10.8451,0.759689,2.71025,1.225,-0.181929,0
0.3,0.42,10.5491,0.662482,3.98935,1.225,-0.117226,0
0.3,0.54,10.3746,0.544983,5.24203,1.225,-0.0792999,0
0.3,0.66,10.2712,0.438388,6.47926,1.225,-0.0569032,0
0.3,0.78,10.2075,0.347271,7.70713,1.225,-0.0431331,0
0.3,0.9,10.1663,0.269833,8.92906,1.225,-0.0342743,0
0.3,1.02,10.1388,0.203303,10.1471,1.225,-0.0283637,0
0.3,1.14,10.12,0.145171,11.3624,1.225,-0.0243638,0
0.3,1.26,10.1077,0.0932687,12.5759,1.225,-0.0217385,0
0.3,1.38,10.1005,0.0455755,13.7882,1.225,-0.0202311,0
0.3,1.5,10.0982,2.95853e-05,15,1.225,-0.0197375,0
0.3,1.62,10.1005,-0.0455161,16.2118,1.225,-0.0202315,0
0.3,1.74,10.1077,-0.0932116,17.4241,1.225,-0.0217392,0
0.3,1.86,10.1201,-0.145116,18.6376,1.225,-0.0243649,0
0.3,1.98,10.1388,-0.203251,19.8529,1.225,-0.0283651,0
0.3,2.1,10.1664,-0.269785,21.0709,1.225,-0.034276,0
0.3,2.22,10.2075,-0.347229,22.2929,1.225,-0.043135,0
0.3,2.34,10.2712,-0.438352,23.5207,1.225,-0.0569055,0
0.3,2.46,10.3746,-0.544953,24.758,1.225,-0.0793024,0
0.3,2.58,10.5491,-0.662459,26.0106,1.225,-0.117229,0
0.3,2.7,10.8451,-0.759674,27.2898,1.225,-0.181932,0
0.3,2.82,11.2927,-0.705204,28.6135,1.225,-0.280226,0
0.42,0.18,11.0058,0.338365,1.33331,1.225,-0.21242,0
0.42,0.3,10.7906,0.463755,2.64139,1.225,-0.166526,0
0.42,0.42,10.5957,0.467541,3.92306,1.225,-0.124879,0
0.42,0.54,10.4511,0.420864,5.18436,1.225,-0.0940347,0
0.42,0.66,10.3503,0.358217,6.43133,1.225,-0.0725611,0
0.42,0.78,10.2805,0.293895,7.66842,1.225,-0.0577414,0
0.42,0.9,10.2315,0.233158,8.89864,1.225,-0.0473883,0
0.42,1.02,10.1967,0.177586,10.124,1.225,-0.0400449,0
0.42,1.14,10.1719,0.127301,11.3459,1.225,-0.0348321,0
0.42,1.26,10.1549,0.081753,12.5652,1.225,-0.0312782,0
0.42,1.38,10.1448,0.0398695,13.783,1.225,-0.0291796,0
0.42,1.5,10.1414,2.96798e-05,15,1.225,-0.0284817,0
0.42,1.62,10.1448,-0.0398114,16.217,1.225,-0.0291802,0
0.42,1.74,10.1549,-0.0816957,17.4347,1.225,-0.0312793,0
0.42,1.86,10.1719,-0.127247,18.6541,1.225,-0.0348338,0
0.42,1.98,10.1967,-0.177535,19.876,1.225,-0.0400471,0
0.42,2.1,10.2316,-0.233112,21.1013,1.225,-0.047391,0
0.42,2.22,10.2805,-0.293853,22.3316,1.225,-0.0577446,0
0.42,2.34,10.3503,-0.358182,23.5687,1.225,-0.0725647,0
0.42,2.46,10.4512,-0.420834,24.8156,1.225,-0.0940387,0
0.42,2.58,10.5957,-0.467519,26.0769,1.225,-0.124883,0
0.42,2.7,10.7906,-0.463739,27.3586,1.225,-0.166531,0
0.42,2.82,11.0058,-0.338358,28.6667,1.225,-0.212425,0
0.54,0.18,10.8289,0.184495,1.30532,1.225,-0.172999,0
0.54,0.3,10.7159,0.289422,2.59894,1.225,-0.149144,0
0.54,0.42,10.592,0.323065,3.87714,1.225,-0.122949,0
0.54,0.54,10.484,0.312713,5.14103,1.225,-0.100111,0
0.54,0.66,10.3982,0.279722,6.39329,1.225,-0.0820076,0
0.54,0.78,10.3325,0.236931,7.63659,1.225,-0.0681756,0
0.54,0.9,10.2827,0.191319,8.8731,1.225,-0.057696,0
0.54,1.02,10.2446,0.146582,10.1044,1.225,-0.0497426,0
0.54,1.14,10.2159,0.104694,11.3318,1.225,-0.0437513,0
